date,BAMLCC0A0CMTRIV
2007-07-05,1617.81
2007-07-06,1613.79
2007-07-09,1618.04
2007-07-10,1628.8
2007-07-11,1624.19
2007-07-12,1620.54
2007-07-13,1621.73
2007-07-16,1628.68
2007-07-17,1624.67
2007-07-18,1630.47
2007-07-19,1628.12
2007-07-20,1632.21
2007-07-23,1631.35
2007-07-24,1631.89
2007-07-25,1633.61
2007-07-26,1633.74
2007-07-27,1629.68
2007-07-30,1627.71
2007-07-31,1632.03
2007-08-01,1632.61
2007-08-02,1633.81
2007-08-03,1638.73
2007-08-06,1634.4
2007-08-07,1633.78
2007-08-08,1624.5
2007-08-09,1629.84
2007-08-10,1629.66
2007-08-13,1631.37
2007-08-14,1634.04
2007-08-15,1633.2
2007-08-16,1640.08
2007-08-17,1633.2
2007-08-20,1636.88
2007-08-21,1640.92
2007-08-22,1637.81
2007-08-23,1639.6
2007-08-24,1639.14
2007-08-27,1643.4
2007-08-28,1648.87
2007-08-29,1646.26
2007-08-30,1650.34
2007-08-31,1648.1
2007-09-03,1648.67
2007-09-04,1647.11
2007-09-05,1655.04
2007-09-06,1651.36
2007-09-07,1661.54
2007-09-10,1664.14
2007-09-11,1659.68
2007-09-12,1655.06
2007-09-13,1647.88
2007-09-14,1650.02
2007-09-17,1650.9
2007-09-18,1651.14
2007-09-19,1648.87
2007-09-20,1638.67
2007-09-21,1645.31
2007-09-24,1648.83
2007-09-25,1650.35
2007-09-26,1650.79
2007-09-27,1656.63
2007-09-28,1656.79
2007-09-30,1657.34
2007-10-01,1659.58
2007-10-02,1662.22
2007-10-03,1662.14
2007-10-04,1665.7
2007-10-05,1656.23
2007-10-08,1657.05
2007-10-09,1657.53
2007-10-10,1659.56
2007-10-11,1660.44
2007-10-12,1658.55
2007-10-15,1660.78
2007-10-16,1662.06
2007-10-17,1671.76
2007-10-18,1675.02
2007-10-19,1683.59
2007-10-22,1682.73
2007-10-23,1682.94
2007-10-24,1688.66
2007-10-25,1686.21
2007-10-26,1683.62
2007-10-29,1685.12
2007-10-30,1684.39
2007-10-31,1675.35
2007-11-01,1684.13
2007-11-02,1688.33
2007-11-05,1683.64
2007-11-06,1678.86
2007-11-07,1677.76
2007-11-08,1679.84
2007-11-09,1682.69
2007-11-12,1683.52
2007-11-13,1677.98
2007-11-14,1677.17
2007-11-15,1685.66
2007-11-16,1685.02
2007-11-19,1689.71
2007-11-20,1688.61
2007-11-21,1691.3
2007-11-22,1691.57
2007-11-23,1691.44
2007-11-26,1706.88
2007-11-27,1695.6
2007-11-28,1686.95
2007-11-29,1692.66
2007-11-30,1690.08
2007-12-03,1697.5
2007-12-04,1696.2
2007-12-05,1691.81
2007-12-06,1681.15
2007-12-07,1669.84
2007-12-10,1668.15
2007-12-11,1684.27
2007-12-12,1677.25
2007-12-13,1668.62
2007-12-14,1662.88
2007-12-17,1668.41
2007-12-18,1676.33
2007-12-19,1681.73
2007-12-20,1686.46
2007-12-21,1673.01
2007-12-24,1669.83
2007-12-25,
2007-12-26,1663.33
2007-12-27,1671.64
2007-12-28,1681.88
2007-12-31,1689.14
2008-01-01,
2008-01-02,1703.32
2008-01-03,1701.6
2008-01-04,1703.76
2008-01-07,1705.23
2008-01-08,1703.21
2008-01-09,1703.6
2008-01-10,1692.02
2008-01-11,1699.77
2008-01-14,1701.68
2008-01-15,1708.95
2008-01-16,1707.26
2008-01-17,1711.08
2008-01-18,1709.29
2008-01-21,1710.13
2008-01-22,1718.81
2008-01-23,1723.23
2008-01-24,1704.4
2008-01-25,1711.9
2008-01-28,1712.94
2008-01-29,1707.17
2008-01-30,1699.39
2008-01-31,1709.1
2008-02-01,1714.48
2008-02-04,1710.53
2008-02-05,1717.21
2008-02-06,1714.58
2008-02-07,1701.94
2008-02-08,1708.87
2008-02-11,1711.2
2008-02-12,1703.88
2008-02-13,1702.66
2008-02-14,1690.52
2008-02-15,1693.68
2008-02-18,1694.52
2008-02-19,1685.05
2008-02-20,1681.25
2008-02-21,1693.92
2008-02-22,1691.66
2008-02-25,1681.47
2008-02-26,1684.72
2008-02-27,1685.9
2008-02-28,1695.52
2008-02-29,1710.33
2008-03-03,1708.95
2008-03-04,1701.27
2008-03-05,1687.64
2008-03-06,1686.81
2008-03-07,1689.92
2008-03-10,1695.62
2008-03-11,1677.48
2008-03-12,1688.45
2008-03-13,1680.07
2008-03-14,1688.86
2008-03-17,1693.62
2008-03-18,1683.7
2008-03-19,1692.87
2008-03-20,1694.44
2008-03-21,
2008-03-24,1678.79
2008-03-25,1682.32
2008-03-26,1683.76
2008-03-27,1679.65
2008-03-28,1684.54
2008-03-31,1687.63
2008-04-01,1676.89
2008-04-02,1676.29
2008-04-03,1677.35
2008-04-04,1690.68
2008-04-07,1687.69
2008-04-08,1688.71
2008-04-09,1697.78
2008-04-10,1691.22
2008-04-11,1696.71
2008-04-14,1694.41
2008-04-15,1689.09
2008-04-16,1677.84
2008-04-17,1676.25
2008-04-18,1679.93
2008-04-21,1686.15
2008-04-22,1687.65
2008-04-23,1688.52
2008-04-24,1680.09
2008-04-25,1677.83
2008-04-28,1684.82
2008-04-29,1687.66
2008-04-30,1697.29
2008-05-01,1700.15
2008-05-02,1695.74
2008-05-05,1697.43
2008-05-06,1693.03
2008-05-07,1696.84
2008-05-08,1703.5
2008-05-09,1707.3
2008-05-12,1707.1
2008-05-13,1693.88
2008-05-14,1690.97
2008-05-15,1700.13
2008-05-16,1700.76
2008-05-19,1703.14
2008-05-20,1708.05
2008-05-21,1703.29
2008-05-22,1691.71
2008-05-23,1699.37
2008-05-26,1700.23
2008-05-27,1689.94
2008-05-28,1683.2
2008-05-29,1677.03
2008-05-30,1681.81
2008-05-31,1681.84
2008-06-02,1689.33
2008-06-03,1696.75
2008-06-04,1691.04
2008-06-05,1685.25
2008-06-06,1694.83
2008-06-09,1689.1
2008-06-10,1676.58
2008-06-11,1678.93
2008-06-12,1666.86
2008-06-13,1662.57
2008-06-16,1664.37
2008-06-17,1667.2
2008-06-18,1673.7
2008-06-19,1667.57
2008-06-20,1671.89
2008-06-23,1667.98
2008-06-24,1672.59
2008-06-25,1671.88
2008-06-26,1674.65
2008-06-27,1677.34
2008-06-30,1675.39
2008-07-01,1671.81
2008-07-02,1675.67
2008-07-03,1674.01
2008-07-04,1674.3
2008-07-07,1679.66
2008-07-08,1681.57
2008-07-09,1684.48
2008-07-10,1684.83
2008-07-11,1668.56
2008-07-14,1675.24
2008-07-15,1673.1
2008-07-16,1660.83
2008-07-17,1651.7
2008-07-18,1648.42
2008-07-21,1651.08
2008-07-22,1647.89
2008-07-23,1645.29
2008-07-24,1657.71
2008-07-25,1649.07
2008-07-28,1657.99
2008-07-29,1655.88
2008-07-30,1654.92
2008-07-31,1660.96
2008-08-01,1664.52
2008-08-04,1663.54
2008-08-05,1660.83
2008-08-06,1656.58
2008-08-07,1669.12
2008-08-08,1668.14
2008-08-11,1663.01
2008-08-12,1669.97
2008-08-13,1666.39
2008-08-14,1670.87
2008-08-15,1674.63
2008-08-18,1678.0
2008-08-19,1674.09
2008-08-20,1676.56
2008-08-21,1671.24
2008-08-22,1668.02
2008-08-25,1675.43
2008-08-26,1674.53
2008-08-27,1676.25
2008-08-28,1674.15
2008-08-29,1672.33
2008-08-31,1672.62
2008-09-01,1672.91
2008-09-02,1679.63
2008-09-03,1683.09
2008-09-04,1686.82
2008-09-05,1684.48
2008-09-08,1684.89
2008-09-09,1689.44
2008-09-10,1681.65
2008-09-11,1674.71
2008-09-12,1660.31
2008-09-15,1648.92
2008-09-16,1619.83
2008-09-17,1612.41
2008-09-18,1599.72
2008-09-19,1593.4
2008-09-22,1595.78
2008-09-23,1588.61
2008-09-24,1590.45
2008-09-25,1571.96
2008-09-26,1554.0
2008-09-29,1571.47
2008-09-30,1549.89
2008-10-01,1552.06
2008-10-02,1542.14
2008-10-03,1541.13
2008-10-06,1548.59
2008-10-07,1536.08
2008-10-08,1510.3
2008-10-09,1494.85
2008-10-10,1460.78
2008-10-13,1461.65
2008-10-14,1470.88
2008-10-15,1469.96
2008-10-16,1460.39
2008-10-17,1447.46
2008-10-20,1447.62
2008-10-21,1457.38
2008-10-22,1462.43
2008-10-23,1467.19
2008-10-24,1451.66
2008-10-27,1445.69
2008-10-28,1439.78
2008-10-29,1436.39
2008-10-30,1434.98
2008-10-31,1435.49
2008-11-03,1442.79
2008-11-04,1456.55
2008-11-05,1466.79
2008-11-06,1468.07
2008-11-07,1464.88
2008-11-10,1473.53
2008-11-11,1473.82
2008-11-12,1481.14
2008-11-13,1472.97
2008-11-14,1478.87
2008-11-17,1480.36
2008-11-18,1485.09
2008-11-19,1489.19
2008-11-20,1493.17
2008-11-21,1479.67
2008-11-24,1469.46
2008-11-25,1482.47
2008-11-26,1486.54
2008-11-27,1486.83
2008-11-28,1490.58
2008-11-30,1491.16
2008-12-01,1507.2
2008-12-02,1504.23
2008-12-03,1504.21
2008-12-04,1510.56
2008-12-05,1502.8
2008-12-08,1500.45
2008-12-09,1508.16
2008-12-10,1507.56
2008-12-11,1512.78
2008-12-12,1515.98
2008-12-15,1520.71
2008-12-16,1533.71
2008-12-17,1550.25
2008-12-18,1564.8
2008-12-19,1564.83
2008-12-22,1564.09
2008-12-23,1564.36
2008-12-24,1566.31
2008-12-25,
2008-12-26,1571.99
2008-12-29,1575.5
2008-12-30,1582.29
2008-12-31,1573.98
2009-01-01,
2009-01-02,1561.71
2009-01-05,1561.42
2009-01-06,1571.17
2009-01-07,1580.12
2009-01-08,1588.51
2009-01-09,1594.88
2009-01-12,1604.57
2009-01-13,1604.49
2009-01-14,1608.51
2009-01-15,1607.07
2009-01-16,1607.75
2009-01-19,1608.63
2009-01-20,1602.57
2009-01-21,1585.48
2009-01-22,1580.56
2009-01-23,1577.81
2009-01-26,1578.42
2009-01-27,1592.96
2009-01-28,1586.24
2009-01-29,1577.77
2009-01-30,1579.19
2009-01-31,1579.22
2009-02-02,1590.46
2009-02-03,1579.94
2009-02-04,1576.92
2009-02-05,1581.29
2009-02-06,1579.06
2009-02-09,1580.74
2009-02-10,1598.36
2009-02-11,1606.19
2009-02-12,1606.46
2009-02-13,1589.69
2009-02-16,1590.58
2009-02-17,1604.64
2009-02-18,1593.75
2009-02-19,1580.48
2009-02-20,1580.18
2009-02-23,1579.07
2009-02-24,1570.79
2009-02-25,1559.77
2009-02-26,1556.23
2009-02-27,1553.74
2009-02-28,1554.62
2009-03-02,1559.52
2009-03-03,1550.34
2009-03-04,1539.32
2009-03-05,1548.19
2009-03-06,1541.81
2009-03-09,1532.11
2009-03-10,1521.77
2009-03-11,1525.73
2009-03-12,1528.49
2009-03-13,1529.28
2009-03-16,1525.87
2009-03-17,1522.57
2009-03-18,1552.8
2009-03-19,1548.01
2009-03-20,1546.02
2009-03-23,1544.38
2009-03-24,1547.4
2009-03-25,1538.1
2009-03-26,1544.33
2009-03-27,1545.75
2009-03-30,1548.93
2009-03-31,1551.4
2009-04-01,1554.89
2009-04-02,1550.41
2009-04-03,1539.61
2009-04-06,1540.75
2009-04-07,1546.25
2009-04-08,1554.85
2009-04-09,1553.45
2009-04-10,
2009-04-13,1564.66
2009-04-14,1573.43
2009-04-15,1580.34
2009-04-16,1580.01
2009-04-17,1578.9
2009-04-20,1591.02
2009-04-21,1587.15
2009-04-22,1583.63
2009-04-23,1589.05
2009-04-24,1587.26
2009-04-27,1595.74
2009-04-28,1592.01
2009-04-29,1592.85
2009-04-30,1599.25
2009-05-01,1601.94
2009-05-04,1607.16
2009-05-05,1613.41
2009-05-06,1619.51
2009-05-07,1618.34
2009-05-08,1626.6
2009-05-11,1637.33
2009-05-12,1640.09
2009-05-13,1645.54
2009-05-14,1644.72
2009-05-15,1644.75
2009-05-18,1639.49
2009-05-19,1642.33
2009-05-20,1653.13
2009-05-21,1644.88
2009-05-22,1640.4
2009-05-25,1641.28
2009-05-26,1642.51
2009-05-27,1636.02
2009-05-28,1644.8
2009-05-29,1668.28
2009-05-31,1668.57
2009-06-01,1654.34
2009-06-02,1669.99
2009-06-03,1682.87
2009-06-04,1671.95
2009-06-05,1661.93
2009-06-08,1664.11
2009-06-09,1669.37
2009-06-10,1667.95
2009-06-11,1678.86
2009-06-12,1686.72
2009-06-15,1695.69
2009-06-16,1700.66
2009-06-17,1702.15
2009-06-18,1687.96
2009-06-19,1696.17
2009-06-22,1705.64
2009-06-23,1710.18
2009-06-24,1705.82
2009-06-25,1716.64
2009-06-26,1719.36
2009-06-29,1719.74
2009-06-30,1719.22
2009-07-01,1719.17
2009-07-02,1725.17
2009-07-03,1725.47
2009-07-06,1725.45
2009-07-07,1730.23
2009-07-08,1745.17
2009-07-09,1732.97
2009-07-10,1744.15
2009-07-13,1741.9
2009-07-14,1734.16
2009-07-15,1725.19
2009-07-16,1733.09
2009-07-17,1730.72
2009-07-20,1741.73
2009-07-21,1755.71
2009-07-22,1749.38
2009-07-23,1738.37
2009-07-24,1745.49
2009-07-27,1745.15
2009-07-28,1750.89
2009-07-29,1758.36
2009-07-30,1768.95
2009-07-31,1787.09
2009-08-03,1778.36
2009-08-04,1779.68
2009-08-05,1776.34
2009-08-06,1784.01
2009-08-07,1776.69
2009-08-10,1788.76
2009-08-11,1794.03
2009-08-12,1790.08
2009-08-13,1801.85
2009-08-14,1804.37
2009-08-17,1807.67
2009-08-18,1803.08
2009-08-19,1809.05
2009-08-20,1811.65
2009-08-21,1800.86
2009-08-24,1810.39
2009-08-25,1816.71
2009-08-26,1819.42
2009-08-27,1818.43
2009-08-28,1821.42
2009-08-31,1825.74
2009-09-01,1827.01
2009-09-02,1835.43
2009-09-03,1832.29
2009-09-04,1822.69
2009-09-07,1823.58
2009-09-08,1823.07
2009-09-09,1823.76
2009-09-10,1841.38
2009-09-11,1844.12
2009-09-14,1840.07
2009-09-15,1839.27
2009-09-16,1840.57
2009-09-17,1849.51
2009-09-18,1844.04
2009-09-21,1844.55
2009-09-22,1850.1
2009-09-23,1853.87
2009-09-24,1857.23
2009-09-25,1861.95
2009-09-28,1865.81
2009-09-29,1865.22
2009-09-30,1862.31
2009-10-01,1871.05
2009-10-02,1866.02
2009-10-05,1867.39
2009-10-06,1867.48
2009-10-07,1875.88
2009-10-08,1867.83
2009-10-09,1854.82
2009-10-12,1855.72
2009-10-13,1865.25
2009-10-14,1855.64
2009-10-15,1852.21
2009-10-16,1859.07
2009-10-19,1863.34
2009-10-20,1871.64
2009-10-21,1865.69
2009-10-22,1866.17
2009-10-23,1862.77
2009-10-26,1857.5
2009-10-27,1869.35
2009-10-28,1874.29
2009-10-29,1864.46
2009-10-30,1877.49
2009-10-31,1877.52
2009-11-02,1874.72
2009-11-03,1869.12
2009-11-04,1862.25
2009-11-05,1866.2
2009-11-06,1870.64
2009-11-09,1872.95
2009-11-10,1873.55
2009-11-11,1873.85
2009-11-12,1877.98
2009-11-13,1880.54
2009-11-16,1892.14
2009-11-17,1893.76
2009-11-18,1889.48
2009-11-19,1892.15
2009-11-20,1891.1
2009-11-23,1891.61
2009-11-24,1896.33
2009-11-25,1899.25
2009-11-26,1899.54
2009-11-27,1904.01
2009-11-30,1904.09
2009-12-01,1897.36
2009-12-02,1895.36
2009-12-03,1892.52
2009-12-04,1883.45
2009-12-07,1890.07
2009-12-08,1896.94
2009-12-09,1895.09
2009-12-10,1890.45
2009-12-11,1889.14
2009-12-14,1892.74
2009-12-15,1888.71
2009-12-16,1890.94
2009-12-17,1904.8
2009-12-18,1900.82
2009-12-21,1889.8
2009-12-22,1886.23
2009-12-23,1886.71
2009-12-24,1881.64
2009-12-25,
2009-12-28,1879.92
2009-12-29,1885.24
2009-12-30,1890.06
2009-12-31,1885.0
2010-01-01,
2010-01-04,1888.62
2010-01-05,1901.41
2010-01-06,1898.35
2010-01-07,1898.99
2010-01-08,1903.22
2010-01-11,1904.37
2010-01-12,1915.34
2010-01-13,1908.25
2010-01-14,1914.97
2010-01-15,1919.63
2010-01-18,1920.53
2010-01-19,1916.16
2010-01-20,1921.49
2010-01-21,1925.87
2010-01-22,1924.59
2010-01-25,1919.19
2010-01-26,1918.72
2010-01-27,1917.41
2010-01-28,1915.88
2010-01-29,1922.56
2010-01-31,1922.86
2010-02-01,1916.06
2010-02-02,1919.43
2010-02-03,1912.94
2010-02-04,1920.32
2010-02-05,1924.32
2010-02-08,1919.16
2010-02-09,1912.97
2010-02-10,1905.85
2010-02-11,1902.67
2010-02-12,1906.1
2010-02-15,1907.0
2010-02-16,1909.64
2010-02-17,1901.8
2010-02-18,1899.17
2010-02-19,1903.25
2010-02-22,1904.26
2010-02-23,1916.37
2010-02-24,1916.23
2010-02-25,1922.34
2010-02-26,1928.87
2010-02-28,1930.07
2010-03-01,1926.96
2010-03-02,1929.65
2010-03-03,1928.88
2010-03-04,1931.8
2010-03-05,1925.54
2010-03-08,1925.81
2010-03-09,1927.98
2010-03-10,1927.28
2010-03-11,1928.78
2010-03-12,1931.42
2010-03-15,1933.12
2010-03-16,1940.19
2010-03-17,1942.75
2010-03-18,1941.17
2010-03-19,1940.83
2010-03-22,1944.39
2010-03-23,1943.13
2010-03-24,1928.59
2010-03-25,1923.86
2010-03-26,1929.44
2010-03-29,1930.51
2010-03-30,1931.02
2010-03-31,1936.76
2010-04-01,1935.17
2010-04-02,
2010-04-05,1922.58
2010-04-06,1925.76
2010-04-07,1938.27
2010-04-08,1935.76
2010-04-09,1937.75
2010-04-12,1944.31
2010-04-13,1949.23
2010-04-14,1946.39
2010-04-15,1949.35
2010-04-16,1957.51
2010-04-19,1953.41
2010-04-20,1955.55
2010-04-21,1963.38
2010-04-22,1958.94
2010-04-23,1954.46
2010-04-26,1954.7
2010-04-27,1967.12
2010-04-28,1957.23
2010-04-29,1963.51
2010-04-30,1970.81
2010-05-03,1966.14
2010-05-04,1974.08
2010-05-05,1975.55
2010-05-06,1982.8
2010-05-07,1964.37
2010-05-10,1961.37
2010-05-11,1959.63
2010-05-12,1958.4
2010-05-13,1961.81
2010-05-14,1972.84
2010-05-17,1969.85
2010-05-18,1978.79
2010-05-19,1973.21
2010-05-20,1973.43
2010-05-21,1976.75
2010-05-24,1972.1
2010-05-25,1969.91
2010-05-26,1963.84
2010-05-27,1952.38
2010-05-28,1958.95
2010-05-31,1959.55
2010-06-01,1958.74
2010-06-02,1952.55
2010-06-03,1950.71
2010-06-04,1968.99
2010-06-07,1968.49
2010-06-08,1967.32
2010-06-09,1964.44
2010-06-10,1949.46
2010-06-11,1961.13
2010-06-14,1956.96
2010-06-15,1954.22
2010-06-16,1959.15
2010-06-17,1970.58
2010-06-18,1968.42
2010-06-21,1970.54
2010-06-22,1978.67
2010-06-23,1983.69
2010-06-24,1980.81
2010-06-25,1982.87
2010-06-28,1991.88
2010-06-29,1997.34
2010-06-30,1999.87
2010-07-01,2002.22
2010-07-02,1996.44
2010-07-05,1997.34
2010-07-06,2004.82
2010-07-07,1999.64
2010-07-08,1997.68
2010-07-09,1995.73
2010-07-12,1998.76
2010-07-13,1995.44
2010-07-14,2005.01
2010-07-15,2014.09
2010-07-16,2019.19
2010-07-19,2016.57
2010-07-20,2020.14
2010-07-21,2027.74
2010-07-22,2024.18
2010-07-23,2019.09
2010-07-26,2022.91
2010-07-27,2021.13
2010-07-28,2027.38
2010-07-29,2029.57
2010-07-30,2040.77
2010-07-31,2040.8
2010-08-02,2034.63
2010-08-03,2041.83
2010-08-04,2038.66
2010-08-05,2042.02
2010-08-06,2051.17
2010-08-09,2051.11
2010-08-10,2051.92
2010-08-11,2060.0
2010-08-12,2056.01
2010-08-13,2062.34
2010-08-16,2076.68
2010-08-17,2070.23
2010-08-18,2073.67
2010-08-19,2081.26
2010-08-20,2077.39
2010-08-23,2078.53
2010-08-24,2088.97
2010-08-25,2083.25
2010-08-26,2087.35
2010-08-27,2068.53
2010-08-30,2080.46
2010-08-31,2085.47
2010-09-01,2073.68
2010-09-02,2069.21
2010-09-03,2064.32
2010-09-06,2065.22
2010-09-07,2078.33
2010-09-08,2073.2
2010-09-09,2060.45
2010-09-10,2059.1
2010-09-13,2068.41
2010-09-14,2077.14
2010-09-15,2069.96
2010-09-16,2066.25
2010-09-17,2068.56
2010-09-20,2074.1
2010-09-21,2086.52
2010-09-22,2090.24
2010-09-23,2089.78
2010-09-24,2084.02
2010-09-27,2095.71
2010-09-28,2102.07
2010-09-29,2097.13
2010-09-30,2097.78
2010-10-01,2097.01
2010-10-04,2101.34
2010-10-05,2103.29
2010-10-06,2112.99
2010-10-07,2112.63
2010-10-08,2113.41
2010-10-11,2114.32
2010-10-12,2109.9
2010-10-13,2109.67
2010-10-14,2100.17
2010-10-15,2091.16
2010-10-18,2101.12
2010-10-19,2104.17
2010-10-20,2104.74
2010-10-21,2100.04
2010-10-22,2099.93
2010-10-25,2104.27
2010-10-26,2094.97
2010-10-27,2089.77
2010-10-28,2094.48
2010-10-29,2101.88
2010-10-31,2102.19
2010-11-01,2101.0
2010-11-02,2108.62
2010-11-03,2102.04
2010-11-04,2115.95
2010-11-05,2109.51
2010-11-08,2108.79
2010-11-09,2096.55
2010-11-10,2098.91
2010-11-11,2099.21
2010-11-12,2087.58
2010-11-15,2070.71
2010-11-16,2078.93
2010-11-17,2076.76
2010-11-18,2075.45
2010-11-19,2078.07
2010-11-22,2085.7
2010-11-23,2088.77
2010-11-24,2071.99
2010-11-25,2072.29
2010-11-26,2080.26
2010-11-29,2082.74
2010-11-30,2084.21
2010-12-01,2066.83
2010-12-02,2064.47
2010-12-03,2064.4
2010-12-06,2075.42
2010-12-07,2053.98
2010-12-08,2048.51
2010-12-09,2052.17
2010-12-10,2048.07
2010-12-13,2053.07
2010-12-14,2035.52
2010-12-15,2030.61
2010-12-16,2034.82
2010-12-17,2053.19
2010-12-20,2050.71
2010-12-21,2053.78
2010-12-22,2051.85
2010-12-23,2047.48
2010-12-24,2047.78
2010-12-27,2053.71
2010-12-28,2040.44
2010-12-29,2057.42
2010-12-30,2055.09
2010-12-31,2064.45
2011-01-03,2062.6
2011-01-04,2062.7
2011-01-05,2049.0
2011-01-06,2056.02
2011-01-07,2064.58
2011-01-10,2066.66
2011-01-11,2065.33
2011-01-12,2064.12
2011-01-13,2070.29
2011-01-14,2066.7
2011-01-17,2067.61
2011-01-18,2065.02
2011-01-19,2069.53
2011-01-20,2056.99
2011-01-21,2063.08
2011-01-24,2065.82
2011-01-25,2075.47
2011-01-26,2063.97
2011-01-27,2069.78
2011-01-28,2074.45
2011-01-31,2069.34
2011-02-01,2064.4
2011-02-02,2060.48
2011-02-03,2056.49
2011-02-04,2048.01
2011-02-07,2052.14
2011-02-08,2045.23
2011-02-09,2054.38
2011-02-10,2046.73
2011-02-11,2053.1
2011-02-14,2057.79
2011-02-15,2058.76
2011-02-16,2058.39
2011-02-17,2063.92
2011-02-18,2062.52
2011-02-21,2063.42
2011-02-22,2075.97
2011-02-23,2072.57
2011-02-24,2076.71
2011-02-25,2079.17
2011-02-28,2084.0
2011-03-01,2084.91
2011-03-02,2078.68
2011-03-03,2068.11
2011-03-04,2077.56
2011-03-07,2077.51
2011-03-08,2072.96
2011-03-09,2081.04
2011-03-10,2088.35
2011-03-11,2088.21
2011-03-14,2093.45
2011-03-15,2092.01
2011-03-16,2102.48
2011-03-17,2097.78
2011-03-18,2097.03
2011-03-21,2094.03
2011-03-22,2094.38
2011-03-23,2092.9
2011-03-24,2088.75
2011-03-25,2084.43
2011-03-28,2085.31
2011-03-29,2079.87
2011-03-30,2083.63
2011-03-31,2084.57
2011-04-01,2085.65
2011-04-04,2089.43
2011-04-05,2085.27
2011-04-06,2080.65
2011-04-07,2080.79
2011-04-08,2080.23
2011-04-11,2081.64
2011-04-12,2089.17
2011-04-13,2093.44
2011-04-14,2091.65
2011-04-15,2101.05
2011-04-18,2104.77
2011-04-19,2106.98
2011-04-20,2103.44
2011-04-21,2102.9
2011-04-22,
2011-04-25,2107.88
2011-04-26,2114.87
2011-04-27,2109.36
2011-04-28,2116.36
2011-04-29,2119.67
2011-04-30,2119.97
2011-05-02,2121.88
2011-05-03,2126.23
2011-05-04,2129.58
2011-05-05,2135.28
2011-05-06,2135.89
2011-05-09,2137.59
2011-05-10,2132.26
2011-05-11,2137.05
2011-05-12,2131.13
2011-05-13,2135.88
2011-05-16,2141.14
2011-05-17,2144.66
2011-05-18,2138.03
2011-05-19,2138.67
2011-05-20,2140.49
2011-05-23,2142.51
2011-05-24,2143.34
2011-05-25,2140.63
2011-05-26,2148.65
2011-05-27,2147.68
2011-05-30,2148.56
2011-05-31,2150.32
2011-06-01,2158.68
